userId,groupsJoined,groupsInherited,acesReceived,acesModified,joinedDomainAdminsGroup,userIsKerboroastable,isLateralMovement
attacker-kerb-eaa5c63f-25b5-4f60-8119-090c9e8db86a,1,1,2,0,0,1,0
attacker-kerb-eaa5c63f-25b5-4f60-8119-090c9e8db86a,1,1,1,0,0,1,0
csAgent-68cac2b4-2d30-4328-8003-7547939afcb5,1,1,1,0,0,0,0
csAgent-a4d10940-f15a-4fe9-ac49-ebe820d56b31,1,1,1,0,0,0,0
csAgent-1612db8f-3a63-4b12-9fd5-590d1ac06728,1,1,1,0,0,0,0
csAgent-90df4096-0d4b-4f83-bd3d-fd89d231fff6,1,1,1,0,0,0,0
csAgent-19fbca61-aed9-4564-94a3-97bcf28e1dbb,1,1,1,0,0,0,0
csAgent-015df2e0-f496-4812-af57-5a3fd8bea184,1,1,1,0,0,0,0
csAgent-d4bd7406-6187-4a38-aa15-6811789472a2,1,1,1,0,0,0,0
csAgent-80c3d03b-9c54-452a-8d5c-f4bd08f22e7d,1,1,1,0,0,0,0
csAgent-220c6dce-e6f0-44d6-a2ac-dff590464697,1,1,1,0,0,0,0
csAgent-5fd72cdb-10fd-42b4-b515-c2399d2e7b76,1,1,1,0,0,0,0
csAgent-86fb075d-148f-4f73-ab17-cc7f2842f9a5,1,1,1,0,0,0,0
csAgent-21ee1db0-2f39-433c-bcd6-07891e102026,1,1,1,0,0,0,0
csAgent-b26ace4a-129e-4988-8a47-5218083ced8f,1,1,1,0,0,0,0
csAgent-7425e2c0-2124-467a-8d5f-46aff53ff70b,1,1,1,0,0,0,0
csAgent-b97bce2b-f2e8-4666-a5c3-3d50e34ec2b2,1,1,1,0,0,0,0
csAgent-956d295c-23ed-4e68-91ad-b98ce7d339ec,1,1,1,0,0,0,0
csAgent-5b20f58c-cd73-4935-8d77-c8a43d43533e,1,1,1,0,0,0,0
csAgent-1342eed1-0495-4344-a044-908bc9db8710,1,1,1,0,0,0,0
csAgent-95477094-24a3-48ed-9d85-7d2adb41866e,1,1,1,0,0,0,0
csAgent-ff87e394-8f78-4991-879b-6a6b27150ba6,1,1,1,0,0,0,0
csAgent-9a9a2c20-b307-4364-83dd-24a1096e113d,1,1,1,0,0,0,0
csAgent-ecb4bfd7-1457-435b-b2d2-e02cae9747b0,1,1,1,0,0,0,0
csAgent-c15f86dd-d1a9-49cb-8942-4244efb544a7,1,1,1,0,0,0,0
csAgent-477e80cc-392d-403a-a2f5-eda01a6325da,1,1,1,0,0,0,0
csAgent-e030323d-39a0-44ce-90c5-93344c5f1e62,1,1,1,0,0,0,0
csAgent-c45c45ad-390b-4d3e-bd1b-ea41ac5e244f,1,1,1,0,0,0,0
csAgent-b0851563-0db3-4b7e-8167-5aedddb18705,1,1,1,0,0,0,0
csAgent-c808f245-d179-4143-9a10-34f416a3a29a,1,1,1,0,0,0,0
csAgent-8fb494ae-6ea0-41b7-9b7a-c02419bd55a9,1,1,1,0,0,0,0
csAgent-47a198ac-f8a6-48d4-9141-522fd4443eec,1,1,1,0,0,0,0
csAgent-10e63468-cd16-4f11-aa7e-533a7efef4d0,1,1,1,0,0,0,0
csAgent-321a5914-fdc3-43d9-8537-9b1be1ed4074,1,1,1,0,0,0,0
csAgent-16ada201-63d3-4b44-869c-e66a2cc9e50a,1,1,1,0,0,0,0
csAgent-2b178918-69d4-4b74-a4ee-285eecd1161a,1,1,1,0,0,0,0
csAgent-b114206e-f715-49bf-a92a-5371799f958b,1,1,1,0,0,0,0
csAgent-90a0b5e7-e17c-4e41-9c6f-ff36fc426da1,1,1,1,0,0,0,0
csAgent-6c9897c2-b53b-4eb6-bd5a-1b3e2367b213,1,1,1,0,0,0,0
csAgent-35636afa-582c-46b2-a195-71dc63edb238,1,1,1,0,0,0,0
csAgent-e3c09f96-3ff5-42bc-befb-ae196a128828,1,1,1,0,0,0,0
csAgent-e622514c-bb71-4bf6-8c9d-9d2a976f8dd6,1,1,1,0,0,0,0
csAgent-dd7dd92e-c803-4d8b-b6c7-322e9831f414,1,1,1,0,0,0,0
csAgent-e11a01bd-360c-4cb8-95e4-c01beb089bb9,1,1,1,0,0,0,0
csAgent-9139f528-ecce-4cee-9620-3acbafdacdef,1,1,1,0,0,0,0
csAgent-15d2162b-00f6-4466-b295-331a18f56492,1,1,1,0,0,0,0
csAgent-ff046ebe-31fa-47be-8ba6-15beb5a750df,1,1,1,0,0,0,0
csAgent-6bd32dae-5b0e-465c-91c5-862ea004507b,1,1,1,0,0,0,0
csAgent-806ae8e5-5c97-41c6-8a1a-fd193313e95c,1,1,1,0,0,0,0
csAgent-9e48cb90-920f-4abb-b697-038f90d1ee48,1,1,1,0,0,0,0
csAgent-37bcede3-5ee4-4589-b171-d1d58b9a64bb,1,1,1,0,0,0,0
csAgent-7a2a9f08-e9e1-4612-b135-91f88b03dbe2,1,1,1,0,0,0,0
csAgent-b6a9eeaa-8f53-4c1a-af99-bd79eff8d422,1,1,1,0,0,0,0
csAgent-f6adca9c-25f1-4d2d-b3a2-da8160c36ef2,1,1,1,0,0,0,0
csAgent-81e64ff3-611d-4a0d-9dcc-ce9b5cfb18b3,1,1,1,0,0,0,0
csAgent-72f6273f-b017-4bd7-acd0-820909a1f1ed,1,1,1,0,0,0,0
csAgent-70d208ee-15bb-4835-a28b-1e3ccba5c79e,1,1,1,0,0,0,0
csAgent-d0a833f5-8e9f-4f84-be54-5c88ec548122,1,1,1,0,0,0,0
csAgent-b0f8082e-a54e-47f0-bc2d-1c5b8711748c,1,1,1,0,0,0,0
csAgent-ef10c22d-2888-4069-9552-ad1e49423619,1,1,1,0,0,0,0
csAgent-dd0ff6cc-5979-457b-b16b-a77eecccc809,1,1,1,0,0,0,0
csAgent-84a948ce-3785-46aa-81fa-0ec54a22554f,1,1,1,0,0,0,0
csAgent-7a4cde8e-769f-463f-9a3f-108db6e7de34,1,1,1,0,0,0,0
csAgent-a0e9e95b-3c69-4d22-8e2b-f3cdaccdbeff,1,1,1,0,0,0,0
csAgent-e68d7724-e3fc-42a1-8b6c-8f812d7555cc,1,1,1,0,0,0,0
csAgent-2e18507c-47e7-4df3-a0ed-8c47cf6444ef,1,1,1,0,0,0,0
csAgent-7815715d-05cc-4c30-986a-45578d7f6e92,1,1,1,0,0,0,0
csAgent-dedddf38-82f6-4f91-b120-feee945ce0ac,1,1,1,0,0,0,0
csAgent-91785f95-fd34-4187-8f77-21277a4a793d,1,1,1,0,0,0,0
csAgent-cdb78063-164a-46ff-9777-d9febe6d97a1,1,1,1,0,0,0,0
new-admin-c727a4a3-6467-4bbb-ad37-f2c7453bdc61,1,1,3,0,1,0,0
csAgent-e030323d-39a0-44ce-90c5-93344c5f1e62,1,1,1,0,0,0,0
csAgent-ef10c22d-2888-4069-9552-ad1e49423619,1,1,1,0,0,0,0
csAgent-84a948ce-3785-46aa-81fa-0ec54a22554f,1,1,1,0,0,0,0
attacker-kerb-eaa5c63f-25b5-4f60-8119-090c9e8db86a,2,4,3,0,1,1,1
f31fa988-83c8-485a-8beb-ad0cc78f1b30,1,1,0,0,0,0,0
15c5d17e-6979-4644-93c8-b90d61d7b670,1,1,0,0,0,0,0
fa829579-2667-427d-83ea-5a15be4133d3,1,1,0,0,0,0,0
edb6cfbf-8bac-4eba-a921-6e3f21867fe7,1,1,0,0,0,0,0
599801ed-60e3-4c94-b9b9-9e4d1730b379,1,1,0,0,0,0,0
be3551a6-4ea0-4641-80fb-08116a732df7,1,1,0,0,0,0,0
0a97f84a-69a1-4cee-a9e3-330f62141070,1,1,0,0,0,0,0
0033e963-e801-421f-9e19-b9b4940fe196,1,1,0,0,0,0,0
8f5824b8-66b5-40fc-b241-d79584b04e5e,1,1,0,0,0,0,0
9c6fefd1-4c09-4221-bc40-b064f234fca9,1,1,0,0,0,0,0
5317bd35-7558-4cee-819e-1cb277f20a8e,1,1,0,0,0,0,0
3ba462ff-ec4b-4861-82a6-829dcf6986e2,1,1,0,0,0,0,0
e60c12c8-7711-4977-82b8-eb6d5053ebc0,1,1,0,0,0,0,0
a3bcac07-78d3-4d90-bc33-5e2121f5fb7c,1,1,0,0,0,0,0
29a38c10-b85c-4ddf-9faf-4752244c871a,1,1,0,0,0,0,0
69e49728-8138-4a34-bc23-c1e7f1925e8b,1,1,0,0,0,0,0
a71b4199-80cd-45f4-a94f-44e9e6df69de,1,1,0,0,0,0,0
9b2e453b-2353-4893-b864-da02be454d68,1,1,0,0,0,0,0
c0cf7172-c7ea-46ec-8799-119a3fe3a119,1,1,0,0,0,0,0
48ff4d29-48f2-41a6-8ee5-1a208382f8e0,1,1,0,0,0,0,0
cb24aeff-2625-4ebe-92e5-bd844841d518,1,1,0,0,0,0,0
e393f3d9-4f4e-48f1-8a1b-9ef47b5ed269,1,1,0,0,0,0,0
6c24e85a-4d42-465b-adcf-782f3f2d0ce5,1,1,0,0,0,0,0
0ac03128-e5af-4a88-bea2-c1abce2c688f,1,1,0,0,0,0,0
3579a16c-6495-4d56-ae41-5eee6c5cbda9,1,1,0,0,0,0,0
55f09d17-b057-47d3-a224-a83144a2c569,1,1,0,0,0,0,0
1917547e-3526-4961-b868-399105602b09,1,1,0,0,0,0,0
0a7ff6ff-d7b2-44d6-8d0e-9b2a0ecded44,1,1,0,0,0,0,0
e3ca4381-a180-4c19-9d81-8afe5c2fabe6,1,1,0,0,0,0,0
80782b66-8037-4b51-b0f2-d80d65231c6e,1,1,0,0,0,0,0
5c9dbb8d-2939-4707-b64d-a80c6923f2f1,1,1,0,0,0,0,0
7edc142d-2853-49e2-aa3b-4094a6bae788,1,1,0,0,0,0,0
51f026f0-6d90-4c50-8e5d-0c38dece3f64,1,1,0,0,0,0,0
ec9fee05-512e-41a6-b81e-524750260d2f,1,1,0,0,0,0,0
db511839-4975-448d-9bf2-bf359748ab96,1,1,0,0,0,0,0
4d83f4ad-46d6-464d-888a-cb1b8d8fdf7b,1,1,0,0,0,0,0
70d9c7b0-2ec3-4643-a430-1a1cd53ead31,1,1,0,0,0,0,0
1bd6f192-7747-405a-8635-f440dfcd3c27,1,1,0,0,0,0,0
21af89b9-6856-4a81-ba3c-6a2fc8548989,1,1,0,0,0,0,0
92fd60f1-ff75-41cc-8787-53188892a4e1,1,1,0,0,0,0,0
d20563c7-5c49-4e38-afdf-e524408b12b7,1,1,0,0,0,0,0
6faa615b-8367-4ded-8c74-069507e7d00e,1,1,0,0,0,0,0
f0c50cb9-8dbf-4c66-9eb6-8413acef33cc,1,1,0,0,0,0,0
904392f7-0c63-4f3f-91d9-fde5afc9b64c,1,1,0,0,0,0,0
a8ce14b3-c8ec-4aa3-8bf2-c53279d6b5e6,1,1,0,0,0,0,0
4e2a8593-bfbe-4fab-9385-769af924b806,1,1,0,0,0,0,0
989e5445-52ea-49d2-a333-fc96d6bbb8ae,1,1,0,0,0,0,0
e858649d-68d9-43e1-bb0a-dfa1417da1c5,1,1,0,0,0,0,0
9bc9d364-d821-400d-87c5-26e72a9027e3,1,1,0,0,0,0,0
d4d6c7f0-d062-4e35-9875-7713a4f3e685,1,1,0,0,0,0,0
