userId,groupsJoined,groupsInherited,acesReceived,acesModified,joinedDomainAdminsGroup,userIsKerboroastable,isLateralMovement
attacker-9e540504-dd10-4d20-9783-1174d16fa142,2,4,3,0,1,0,1
attacker-9e182c20-891d-4e25-9845-16891e8ab6d1,2,4,3,0,1,0,1
attacker-29d81091-bc7b-4a86-9287-1ba0c420c327,2,4,3,0,1,0,1
attacker-c22543d5-6d80-4c25-bb2a-634c92f707d9,2,4,3,0,1,0,1
attacker-b7fc77a2-d4b4-47c5-a156-5586dc76bfd8,2,4,3,0,1,0,1
attacker-747efba1-c908-49df-9bcc-ed7192d939fb,2,4,3,0,1,0,1
attacker-d2d170cb-972a-43df-bbdb-03cf3429bcad,2,4,3,0,1,0,1
attacker-845b196d-e40b-4e53-8376-66b1fbbd7fca,2,4,3,0,1,0,1
attacker-bfc7057a-555b-4c54-929f-f7375baf8e65,2,4,3,0,1,0,1
attacker-70b43d04-1154-4ecd-b4e5-2e81f8891e0d,2,4,3,0,1,0,1
