userId,groupsJoined,groupsInherited,acesReceived,acesModified,joinedDomainAdminsGroup,userIsKerboroastable,isLateralMovement
attacker-9e540504-dd10-4d20-9783-1174d16fa142,1,1,2,0,0,0,0
attacker-9e540504-dd10-4d20-9783-1174d16fa142,1,1,1,0,0,0,0
csAgent-56462fcd-3271-4da4-826b-7ca2171f5517,1,1,1,0,0,0,0
csAgent-62bce9c4-a6de-4aae-8120-c6e24be33b5e,1,1,1,0,0,0,0
csAgent-a6b9e8f1-1506-4492-8a4a-1e4d47cd0fed,1,1,1,0,0,0,0
csAgent-bef4a157-fc9d-43c0-a98b-71f37817a77c,1,1,1,0,0,0,0
csAgent-f3a63279-036f-4869-92b7-c63459410c74,1,1,1,0,0,0,0
csAgent-106fe479-c4fb-40f4-ac4c-2748e7d8f70b,1,1,1,0,0,0,0
csAgent-229311db-3503-4a71-a26d-1d1a2480b6fd,1,1,1,0,0,0,0
csAgent-ec98e460-7da7-4918-9257-0d35f23a7b30,1,1,1,0,0,0,0
csAgent-af3e10c8-e199-4e95-b374-5a5ed450b5bb,1,1,1,0,0,0,0
csAgent-a27d6b43-a332-4a32-b403-edee0cdeaee5,1,1,1,0,0,0,0
csAgent-9f70f84e-efd7-4d6f-9943-221d14a13d6d,1,1,1,0,0,0,0
csAgent-46346282-d4cc-499b-9ca0-9ef4dded1871,1,1,1,0,0,0,0
csAgent-7256306b-33af-401d-9b46-2c0905c84020,1,1,1,0,0,0,0
csAgent-4c631ecd-557f-42e3-9bca-65e2b9b3a6fc,1,1,1,0,0,0,0
csAgent-042ad6c7-b716-4204-be16-a3988539f76e,1,1,1,0,0,0,0
csAgent-8c705678-3334-451d-81d4-9f2407ea5492,1,1,1,0,0,0,0
csAgent-e74a4564-7299-43a0-bbf6-ba481b0094b4,1,1,1,0,0,0,0
csAgent-c86d275b-a373-439e-96a3-98465e1632b4,1,1,1,0,0,0,0
csAgent-5ac24120-b8f1-4678-a197-70e3218a8051,1,1,1,0,0,0,0
csAgent-bcbbd54c-dde7-4107-a049-06140b179a9e,1,1,1,0,0,0,0
csAgent-7badba7f-b9a7-4ca1-a6f3-2eb688b81182,1,1,1,0,0,0,0
csAgent-17e3cf19-fb63-4005-8a99-c454e4729f85,1,1,1,0,0,0,0
csAgent-801cf468-31db-496c-8e82-50988246a107,1,1,1,0,0,0,0
csAgent-949f830f-6f6f-471a-be62-9d8114304315,1,1,1,0,0,0,0
csAgent-a34e131a-5a44-4122-a6af-0c8e9b646fb5,1,1,1,0,0,0,0
csAgent-42d4886e-ed96-4803-b8c6-1c36bcd62fb8,1,1,1,0,0,0,0
csAgent-42c3a317-cbf7-4fa1-ad95-c0529952fe8f,1,1,1,0,0,0,0
csAgent-74ec6d1c-a693-4130-a85a-76080df644aa,1,1,1,0,0,0,0
csAgent-302d0765-fb16-4d2e-af4b-f06f8186e352,1,1,1,0,0,0,0
csAgent-a3cc793c-1f10-4f67-9159-e5047d06c785,1,1,1,0,0,0,0
csAgent-8efa1bb6-3574-4682-9f0e-e3dfcf3dcf8b,1,1,1,0,0,0,0
csAgent-3be865d7-0b88-493d-800b-900e880934ac,1,1,1,0,0,0,0
csAgent-7b4622c8-b787-4833-88d8-4e13748b8a0e,1,1,1,0,0,0,0
csAgent-954cf7da-7e34-4d3c-a562-1ed12af550e6,1,1,1,0,0,0,0
csAgent-717e75f7-62e2-45b1-938e-445477879543,1,1,1,0,0,0,0
csAgent-8ea17601-dfe4-4060-b6af-5d2e55df6ab4,1,1,1,0,0,0,0
csAgent-7bc24dc4-5929-4c40-b3b1-2acb4ada8699,1,1,1,0,0,0,0
csAgent-2a539d66-2d85-4a0e-b64b-f5ffa3cd0609,1,1,1,0,0,0,0
csAgent-37296a77-ae99-4245-816b-bd5b6a697adc,1,1,1,0,0,0,0
csAgent-921c0525-de50-433c-9186-485603cee398,1,1,1,0,0,0,0
csAgent-28bb6eb2-9ae3-425d-82bb-c5a974397a7f,1,1,1,0,0,0,0
csAgent-0fe9ebad-c7e4-4839-a5ff-6b481b834675,1,1,1,0,0,0,0
csAgent-060b64dd-129b-4ed3-b5f5-1519da04cd62,1,1,1,0,0,0,0
csAgent-7cade86d-1ae1-4b06-9c03-3772809ad21d,1,1,1,0,0,0,0
csAgent-5cf89a4d-937f-46c5-bc64-58e1aa103aac,1,1,1,0,0,0,0
csAgent-303ca531-7dc9-4be0-afe6-b1b9c6390f92,1,1,1,0,0,0,0
csAgent-14b94a81-c2aa-48b2-988b-f7789cf70693,1,1,1,0,0,0,0
csAgent-383aec85-7f6c-4b42-91c6-9c0178c4dfe7,1,1,1,0,0,0,0
csAgent-141df58c-cca5-4a5a-a757-40717be67613,1,1,1,0,0,0,0
new-admin-119dfc9a-911d-46d6-a80c-23dcba1806aa,1,1,3,0,1,0,0
csAgent-bef4a157-fc9d-43c0-a98b-71f37817a77c,1,1,1,0,0,0,0
csAgent-42d4886e-ed96-4803-b8c6-1c36bcd62fb8,1,1,1,0,0,0,0
csAgent-303ca531-7dc9-4be0-afe6-b1b9c6390f92,1,1,1,0,0,0,0
attacker-9e182c20-891d-4e25-9845-16891e8ab6d1,1,1,2,0,0,0,0
attacker-9e182c20-891d-4e25-9845-16891e8ab6d1,1,1,1,0,0,0,0
csAgent-b6fcb126-dd78-4575-9cfe-e759125958a9,1,1,1,0,0,0,0
csAgent-a566b0c8-d2bf-4d70-b15e-bcf279588f8c,1,1,1,0,0,0,0
csAgent-ef9f3c09-957c-46d7-afc8-be5c016f0425,1,1,1,0,0,0,0
csAgent-dffdd93f-da1d-488a-8e0b-4fa6470864f8,1,1,1,0,0,0,0
csAgent-7552a826-9796-4741-8cc5-d413eb33cb16,1,1,1,0,0,0,0
csAgent-9b3b1157-2aed-4afc-9f71-2936bd03c589,1,1,1,0,0,0,0
csAgent-b53fae05-b73b-4fe9-bc50-332c9ec38212,1,1,1,0,0,0,0
csAgent-cc0f2cd9-4c7e-4b86-a746-4c9ab2a866ba,1,1,1,0,0,0,0
csAgent-abe30d56-fd71-4117-aff4-f395d9d42cdf,1,1,1,0,0,0,0
csAgent-18cac3a4-c758-4b0d-b7d2-ad181f71e715,1,1,1,0,0,0,0
csAgent-f9b947d9-0cff-4177-b35a-e89c1c8e7c85,1,1,1,0,0,0,0
csAgent-e4985064-4621-46f0-8703-36d04aad7c29,1,1,1,0,0,0,0
csAgent-9bf7f59f-e43f-4a89-a3f4-f98346df6db5,1,1,1,0,0,0,0
