userId,groupsJoined,groupsInherited,acesReceived,acesModified,joinedDomainAdminsGroup,userIsKerboroastable,isNormalActivity
attacker-8415daed-3cfd-4d77-921f-f7dbf7718e19,1,1,1,0,0,0,1
csAgent-db55a041-c2b2-4416-a107-16b33f786ac0,1,1,1,0,0,0,1
csAgent-35718e18-bd41-48ad-9eff-d2e4f09f3dae,1,1,1,0,0,0,1
csAgent-ea2f8d22-b6b7-4a2e-a8f1-880adea24922,1,1,1,0,0,0,1
csAgent-ac90edf6-f353-41f3-a8f7-32a44c23633d,1,1,1,0,0,0,1
csAgent-10e075d4-e56c-47a2-b629-79d9f865a572,1,1,1,0,0,0,1
csAgent-51c7dae7-1e46-47fc-91c7-4a600dea7213,1,1,1,0,0,0,1
csAgent-688dbea7-0d4a-43af-9899-5d4fa56e0e1e,1,1,1,0,0,0,1
csAgent-6b5efc7d-4ba7-4bf6-bace-2299ed76fbab,1,1,1,0,0,0,1
csAgent-1ec3ecd3-4fde-4925-8ccb-49b6b181ba2f,1,1,1,0,0,0,1
csAgent-2c32356f-bf4f-412f-ac7a-38d80412f254,1,1,1,0,0,0,1
csAgent-ac9613c5-ab96-4d20-b4d1-581166239684,1,1,1,0,0,0,1
csAgent-e336fcf3-7ea8-4b9c-b6d4-ee6a39c386e9,1,1,1,0,0,0,1
csAgent-8cd16c2d-8e3e-45eb-9265-df8fb96bf1e8,1,1,1,0,0,0,1
csAgent-09902e8b-b9e2-497a-8bb0-37c3464d5c10,1,1,1,0,0,0,1
csAgent-2238a56f-b7fb-4673-a685-7a5a1a0f51a6,1,1,1,0,0,0,1
csAgent-f95af404-d473-41be-9ad9-9441d4e5ad2d,1,1,1,0,0,0,1
csAgent-3c8e912d-e648-4a30-a99d-592aa8c3b368,1,1,1,0,0,0,1
csAgent-da8e04ae-e2aa-4732-97de-b196f13d26f1,1,1,1,0,0,0,1
csAgent-4aa94d84-989b-4884-a915-0866e8eeece4,1,1,1,0,0,0,1
csAgent-15c96bc1-2b16-42a3-b4c1-ce199a2619e7,1,1,1,0,0,0,1
csAgent-d5703f81-0515-496d-80e0-de618d9530a5,1,1,1,0,0,0,1
csAgent-8eb26569-5692-4bf0-9217-e41f23cf99b7,1,1,1,0,0,0,1
new-admin-0dcb6860-54ef-4dc1-a214-e8fd414bcb0d,1,1,3,0,1,0,1
csAgent-35718e18-bd41-48ad-9eff-d2e4f09f3dae,1,1,1,0,0,0,1
csAgent-688dbea7-0d4a-43af-9899-5d4fa56e0e1e,1,1,1,0,0,0,1
csAgent-4aa94d84-989b-4884-a915-0866e8eeece4,1,1,1,0,0,0,1
e31fe56e-7953-462c-ab46-9af6dcd06c38,1,1,23,0,0,0,1
bc375d2e-58a1-47d6-a2cf-596e597b6084,1,1,23,0,0,0,1
b39a584c-7413-4a66-9838-e62443ac9045,1,1,23,0,0,0,1
46677c26-4715-4b76-9ca5-f149f08f98ce,1,1,23,0,0,0,1
e763e8f2-aa5f-47f5-b0c4-b57ac65e2c7f,1,1,23,0,0,0,1
97122725-39cc-4448-bbbc-97a54dda226b,1,1,23,0,0,0,1
4305c073-eee2-44db-a876-3be16d21f12c,1,1,23,0,0,0,1
3441d601-0c35-41b6-bb4c-f87700b2ea16,1,1,23,0,0,0,1
97ef1235-0ffa-460d-ad26-5dc8951e7fd6,1,1,23,0,0,0,1
a20614c3-b41b-4c2a-9e26-3305dce72505,1,1,23,0,0,0,1
bc81f8b4-3225-41f0-96ba-e3c2a4cab84a,1,1,23,0,0,0,1
5a824f76-d52d-423f-be5e-3e439b932ec3,1,1,23,0,0,0,1
bed376bb-6570-4e8b-8035-3c087375b237,1,1,23,0,0,0,1
367edc78-642d-422a-92ca-4af3d39732dd,1,1,23,0,0,0,1
89692ed3-239f-40ce-bf5f-a91f8233e7af,1,1,23,0,0,0,1
85543074-25bb-4e9a-87e1-fadc104a46fc,1,1,23,0,0,0,1
9ecf781b-70bf-4199-a25c-3c6371b90b0a,1,1,23,0,0,0,1
fe1fd8e3-3ad3-4eef-9763-022ba20c9302,1,1,23,0,0,0,1
649ae378-f249-4639-a65b-88145d958a35,1,1,23,0,0,0,1
4cee8e8b-6182-43a5-b800-1f2634b64cd9,1,1,23,0,0,0,1
fccd8cad-820a-47bd-a18b-c23eb3d328bf,1,1,23,0,0,0,1
a972f73f-4e9b-41ac-a217-476b14e1f998,1,1,23,0,0,0,1
226286ea-4d32-427e-8bc6-62375018149f,1,1,23,0,0,0,1
3bd14b44-8d47-4a6b-9cb1-b4e782d0b9f4,1,1,23,0,0,0,1
8c8b37b0-0de8-405d-8da7-7be789190715,1,1,23,0,0,0,1
1c2cb1d6-f806-4362-a786-04b895ef2c43,1,1,23,0,0,0,1
1caacce7-6594-40a8-bebd-5152ae7f2823,1,1,23,0,0,0,1
69184e4f-cdc1-4e21-aa5c-b8e227bb3ef4,1,1,23,0,0,0,1
89de08c6-9ab5-4ec2-92c8-d87cc2079e9f,1,1,23,0,0,0,1
b0921e67-9f5b-4bf9-ab82-2b5ad2dad63f,1,1,23,0,0,0,1
dbf1efd4-0f53-4f9f-8aca-26b1b3c8177c,1,1,23,0,0,0,1
aeb296a9-a0e3-41b7-bde6-474dacc831b0,1,1,23,0,0,0,1
6e864ad9-104d-4d42-8b4d-f4fb9f5371f3,1,1,23,0,0,0,1
f7fb6366-7537-4f0b-938c-c9b49716f14f,1,1,23,0,0,0,1
7d85538b-8488-4c6f-9112-209cfe8f699e,1,1,23,0,0,0,1
d6f39447-c72e-4608-b627-88fff95a9976,1,1,23,0,0,0,1
attacker-8415daed-3cfd-4d77-921f-f7dbf7718e19,1,1,10,0,0,0,1
csAgent-8c2cb52f-b0b9-48c3-baf9-8352deb433e9,1,1,10,0,0,0,1
csAgent-3877fba6-058a-4c37-b8f2-ef678c4f43f9,1,1,10,0,0,0,1
csAgent-535f44ea-ed57-4765-82c1-f5b227cdd019,1,1,10,0,0,0,1
csAgent-10e075d4-e56c-47a2-b629-79d9f865a572,1,1,10,0,0,0,1
csAgent-688dbea7-0d4a-43af-9899-5d4fa56e0e1e,1,1,10,0,0,0,1
csAgent-8613be13-5bd1-4903-b7fa-ddaef96ee420,1,1,10,0,0,0,1
csAgent-6b5efc7d-4ba7-4bf6-bace-2299ed76fbab,1,1,10,0,0,0,1
csAgent-3c8e912d-e648-4a30-a99d-592aa8c3b368,1,1,10,0,0,0,1
46677c26-4715-4b76-9ca5-f149f08f98ce,1,1,10,0,0,0,1
3441d601-0c35-41b6-bb4c-f87700b2ea16,1,1,10,0,0,0,1
9ecf781b-70bf-4199-a25c-3c6371b90b0a,1,1,10,0,0,0,1
226286ea-4d32-427e-8bc6-62375018149f,1,1,10,0,0,0,1
8c8b37b0-0de8-405d-8da7-7be789190715,1,1,10,0,0,0,1
aeb296a9-a0e3-41b7-bde6-474dacc831b0,1,1,10,0,0,0,1
94807977-f14b-4abe-920f-197c68820a30,1,1,28,0,0,0,1
c66b01b1-a031-4b5b-9a91-fe065e7825a4,1,1,28,0,0,0,1
8a99da5c-1430-47da-a569-09ac0361df52,1,1,28,0,0,0,1
7942fe60-c788-4acb-8aa7-7fa82dd294ca,1,1,28,0,0,0,1
345a59dd-4407-4276-947c-6563d5de8ae8,1,1,28,0,0,0,1
aeb667ec-134a-4d75-bfc2-a84efd205722,1,1,28,0,0,0,1
7e39b39a-e855-412c-b7d1-6a57524587df,1,1,28,0,0,0,1
370f5484-ef5c-4592-9440-8ba1daad3446,1,1,28,0,0,0,1
