userId,groupsJoined,groupsInherited,acesReceived,acesModified,joinedDomainAdminsGroup,userIsKerboroastable,isLateralMovement
attacker-kerb-c3c5794a-bf46-48ed-a2ba-c92d377e9e93,1,1,2,0,0,1,0
attacker-kerb-c3c5794a-bf46-48ed-a2ba-c92d377e9e93,1,1,1,0,0,1,0
csAgent-aa296b38-754a-4e05-ad56-4849259b8976,1,1,1,0,0,0,0
csAgent-a4217cf8-3fda-41a1-8ac6-f3a2f7e5106e,1,1,1,0,0,0,0
csAgent-01028b7d-ec1e-4d2b-bcd8-c948b3515bf6,1,1,1,0,0,0,0
csAgent-f3eda422-93b4-4994-8153-a7ddef5f19c2,1,1,1,0,0,0,0
csAgent-9bf1c61e-0836-41df-bbf9-804a2dc657bd,1,1,1,0,0,0,0
csAgent-81474842-586c-4a4d-a473-e4a197c7aa6e,1,1,1,0,0,0,0
csAgent-8bc81318-b012-4b38-8a95-f9d154bc94bc,1,1,1,0,0,0,0
csAgent-fbcc041b-b716-4654-9cb4-768a5eb41045,1,1,1,0,0,0,0
csAgent-424149c0-8296-41ba-a1ea-eb4022033a3a,1,1,1,0,0,0,0
csAgent-99024465-8276-4d74-b2f2-a3a3292e30bf,1,1,1,0,0,0,0
csAgent-784485c5-1118-4483-8267-683fadefb838,1,1,1,0,0,0,0
csAgent-fcf244e2-77dd-491b-9184-220a9c5d6217,1,1,1,0,0,0,0
csAgent-29a8ea8b-72b3-4e62-a44d-96f5e4a3c8e9,1,1,1,0,0,0,0
csAgent-af6d6391-dca7-4622-8beb-a24ac4701ce2,1,1,1,0,0,0,0
csAgent-c71007e2-efbc-4c07-ad64-1badca4d67d7,1,1,1,0,0,0,0
csAgent-e0695fff-b512-47fe-b00c-d8154bbcd20a,1,1,1,0,0,0,0
csAgent-1a41cc2d-117b-4d69-8dff-034cb06a9eca,1,1,1,0,0,0,0
csAgent-7a36e438-4598-4221-9ca7-d4f84c1f969c,1,1,1,0,0,0,0
